Q1,Q2,Q3,Q4,Q5,midterm
15,16,0,13,12,56
10,4,3,5,16,38
20,18,3,18,7,66
15,16,9,25,8,73
20,20,6,22,17,85
15,20,3,22,20,80
5,3,6,19,20,53
20,18,3,18,16,75
10,10,6,19,18,63
10,18,15,20,1,64
20,20,12,25,6,83
20,8,12,24,20,84
20,20,6,25,18,89
20,0,6,15,17,58
20,20,15,25,20,100
15,20,6,25,14,80
20,20,15,20,20,95
20,10,15,19,20,84
20,20,6,21,8,75
5,0,6,16,16,43
20,16,9,17,4,66
20,20,12,25,16,93
20,16,12,8,15,71
15,3,15,25,18,76
15,20,15,20,20,90
20,20,6,25,19,90
15,0,9,16,20,60
20,20,15,25,20,100
20,20,15,19,20,94
20,16,6,25,20,87
20,14,12,17,16,79
20,20,12,25,20,97
20,4,6,16,20,66
10,18,3,12,6,49
20,10,3,16,8,57
20,20,9,25,20,94
15,2,15,17,3,52
15,4,6,25,4,54
10,12,6,21,3,52
15,4,12,18,14,63
20,16,12,16,0,64
10,18,15,23,19,85
15,20,15,23,11,84
20,20,12,24,20,96
20,20,15,16,7,78
5,6,9,25,7,52
20,6,15,17,19,77
20,8,3,25,20,76
20,6,9,24,20,79
20,20,9,19,16,84
10,6,6,18,20,60
5,4,6,18,5,38
20,6,15,16,9,66
10,20,12,25,14,81
20,18,9,10,1,58
20,20,9,25,20,94
20,12,15,25,20,92
20,20,6,16,14,76
20,11,3,14,14,62
20,16,15,19,18,88
20,16,6,23,20,85
5,0,6,3,9,23
10,1,9,10,8,38
5,8,6,11,4,34
5,6,3,24,6,44
20,20,9,19,18,86
20,6,9,0,18,53
15,9,15,16,17,72
20,14,6,24,9,73
20,20,9,17,17,83
15,20,3,19,11,68
20,10,9,16,1,56
20,20,15,20,18,93
20,20,15,25,18,98
15,20,15,24,18,92
20,20,15,22,20,97
20,16,12,25,20,93
20,18,15,19,20,92
15,16,9,24,19,83
20,8,9,16,7,60
20,20,12,25,20,97
20,8,9,17,17,71
20,18,15,25,20,98
15,4,6,0,0,25
20,20,15,25,20,100
10,14,0,19,11,54
20,14,6,16,0,56
20,20,15,25,16,96
20,6,6,25,19,76
15,16,15,25,18,89
10,2,3,4,1,20
20,16,15,18,17,86
20,6,6,16,16,64
20,12,15,25,20,92
10,8,0,0,5,23
15,20,15,16,18,84
20,20,6,25,10,81
15,14,15,18,12,74
15,14,6,17,19,71
20,20,12,19,20,91
10,14,0,14,17,55
20,12,6,2,13,53
15,8,12,16,0,51
20,10,9,23,8,70
20,6,15,25,20,86
20,12,6,10,3,51
20,18,15,19,14,86
20,6,9,18,17,70
20,20,15,25,10,90
10,20,3,16,0,49
20,20,12,25,20,97
15,14,9,18,20,76
15,18,6,23,5,67
15,18,12,25,20,90
20,20,15,23,19,97
20,16,9,19,18,82
20,16,6,16,20,78
5,0,0,0,0,5
15,14,15,16,0,60
20,18,6,25,18,87
10,14,6,19,4,53
0,0,0,16,20,36
20,18,15,19,20,92
15,20,15,23,20,93
20,8,12,22,16,78
5,2,15,10,20,52
20,20,15,25,18,98
20,20,15,25,3,83
20,18,6,18,4,66
15,18,12,16,20,81
20,10,9,19,19,77
20,20,9,19,19,87
20,10,3,15,9,57
20,20,3,15,0,58
20,20,15,19,18,92
20,20,15,15,20,90
15,8,3,6,0,32
15,18,12,25,20,90
20,8,6,14,0,48
,,,,,
10,14,6,19,15,64
10,10,12,15,0,47
10,10,15,12,1,48
20,16,15,24,20,95
15,8,12,18,19,72
20,16,15,25,19,95
10,6,6,14,14,50
15,20,15,25,20,95
15,18,6,14,20,73
20,6,6,1,0,33
15,15,9,17,11,67
10,7,6,8,11,42
20,10,0,8,16,54
20,12,15,16,0,63
15,20,15,19,20,89
15,18,12,14,16,75
20,20,15,18,20,93
10,20,9,8,16,63
15,20,12,25,18,90
20,12,6,16,15,69
20,15,15,19,19,88
20,16,6,17,3,62
20,20,15,25,20,100
20,13,15,23,20,91
20,20,6,16,16,78
15,16,15,22,16,84
20,18,6,16,1,61
15,20,12,25,18,90
